Bennedict Mathurin,IND,22,59,1538,0.6,0.4,1.2,0.4,0,4.3
Doug McDermott,IND,32,64,904,0.7,0.4,0.6,0.2,0,5.4
Isaiah Jackson,IND,22,60,771,1.2,4.7,3.5,0.4,0,12.3
Isaiah Wong,IND,23,1,4,0,0,0,0,0,0
Jalen Smith,IND,24,61,1047,1.6,3.6,0.9,0.3,0,9.7
James Johnson,IND,37,9,47,0.8,0.8,4.6,0.8,0,5.4
Jarace Walker,IND,20,33,340,0.7,0.4,2.8,0.2,0,3.9
Kendall Brown,IND,21,15,63,0.6,0,2.3,0.6,0,1.1
Myles Turner,IND,28,77,2076,1.9,4.1,1.9,0.2,0.1,11.8
Obi Toppin,IND,26,82,1731,0.7,1.2,1.7,0.4,0,6.1
Oscar Tshiebwe,IND,24,8,42,1.7,2.6,1.7,1.7,0,4.3
Pascal Siakam,IND,30,80,2658,1,0.8,1.7,0.5,0,5.8
Quenton Jackson,IND,25,3,11,0,0,6.5,0,0,3.3
T.J. McConnell,IND,32,71,1291,0.2,0.1,4,1.1,0.2,2.6
Tyrese Haliburton,IND,24,69,2224,0.2,0.3,2.5,0.5,0,3.7
Amir Coffey,LAC,27,70,1461,0.5,0.6,1.6,0.2,0,4.7
Bones Hyland,LAC,23,37,540,0.5,0.3,1.7,0.4,0,3.5
Brandon Boston Jr.,LAC,22,32,345,0.1,0.6,2.8,0.3,0,3.7
Daniel Theis,LAC,32,60,1015,1.9,4.5,2.3,0.4,0,11.2
Ivica Zubac,LAC,27,68,1795,1.9,4.4,0.8,0.2,0,13.4
James Harden,LAC,34,72,2470,0.6,0.2,2,0.5,0,4.7
Jordan Miller,LAC,24,8,28,0,0,1.3,0,0,3.9
Joshua Primo,LAC,21,2,10,0,0,0,0,0,7.2
Kawhi Leonard,LAC,33,68,2330,0.8,0.5,3,0.7,0,5.7
Kobe Brown,LAC,24,44,394,1,1.2,1.6,0.5,0,4.4
Mason Plumlee,LAC,34,46,674,1.2,4.8,2.1,0.5,0.2,8
Moussa Diabaté,LAC,22,11,64,1.1,2.8,2.8,0.6,0,10.1
Norman Powell,LAC,31,76,1990,0.5,0.5,1.7,0.3,0,3.7
P.J. Tucker,LAC,39,31,486,1.6,1.3,2.6,0.6,0.2,6.6
Paul George,LAC,34,74,2502,0.6,0.5,3.1,0.4,0.1,6.3
Russell Westbrook,LAC,35,68,1529,0.2,0.6,2.9,0.7,0.1,3.1
Terance Mann,LAC,27,75,1873,0.4,1,1.4,0.2,0,3.6
Xavier Moon,LAC,29,14,119,0,0.3,3,0.6,0,2.1
Anthony Davis,LAL,31,76,2700,1.9,4.1,2.6,0.4,0,11.3
Austin Reaves,LAL,26,82,2629,0.7,0.3,1.5,0.6,0.1,5.9
Cam Reddish,LAL,24,48,984,0.6,0.1,3.1,0.7,0,4.8
Christian Wood,LAL,28,50,872,1.3,1.7,0.7,0.3,0,10.4
Colin Castleton,LAL,24,16,59,1.2,4.3,3.1,0,0,9.2
D'Angelo Russell,LAL,28,76,2484,0.5,0.5,2.4,0.4,0,3.1
D'Moi Hodge,LAL,25,7,41,0,0.9,2.6,0,0,4.4
Gabe Vincent,LAL,28,11,218,0,0.7,3,0.5,0,3.6
Harry Giles III,LAL,26,23,100,1.1,2.5,1.8,0,0,10.1
Jalen Hood-Schifino,LAL,21,21,109,0,0,0.7,0.7,0,4
Jarred Vanderbilt,LAL,25,29,581,0.2,0.9,3.2,0.6,0,4
Jaxson Hayes,LAL,24,70,877,1.6,3.6,2.5,0.5,0,12.8
LeBron James,LAL,39,71,2504,0.7,0.6,1.8,0.3,0.1,3.9
Max Christie,LAL,21,67,944,0.2,0.5,1.1,0.3,0,8.4
Maxwell Lewis,LAL,21,34,103,0,0,1.7,0,0,5.9
Rui Hachimura,LAL,26,68,1825,1.1,0.5,1.7,0.4,0,6
Skylar Mays,LAL,26,38,433,0.6,0.1,2,0.5,0,5.4
Spencer Dinwiddie,LAL,31,76,2152,0.4,0.4,1.4,0.2,0,5
Taurean Prince,LAL,30,78,2108,0.8,0.4,2,0.6,0.2,5.1
Brandon Clarke,MEM,27,6,134,1.9,1.3,2.1,0.5,0,4.8
DeJon Jarreau,MEM,26,9,150,0.2,0,2.4,0,0,3.8
Derrick Rose,MEM,35,24,399,0.3,0.1,1.4,0.9,0.5,3.5
Desmond Bane,MEM,26,42,1443,0.4,0.4,1.9,0.5,0.1,5.8
GG Jackson,MEM,19,48,1233,0.5,0.4,1.2,0.3,0,4.6
Ja Morant,MEM,24,9,318,0.7,0.2,1.6,0.6,0.1,3.6
Jack White,MEM,26,4,64,1.1,0.6,3.9,0.6,0,6.8
Jake LaRavia,MEM,22,35,806,0.5,0.3,3,0.7,0,5.4
Jaren Jackson Jr.,MEM,24,66,2124,0.9,1.9,3.1,0.4,0,9.3
John Konchar,MEM,28,55,1174,0.4,0.7,3.1,0.7,0.2,6.3
Jordan Goodwin,MEM,25,57,1056,0.6,0.5,3.6,0.9,0,4.2
Lamar Stevens,MEM,26,38,559,1.3,0.8,2.5,0.5,0,7.2
Luke Kennard,MEM,28,39,999,0.7,0.5,1.2,0.6,0,2.8
Marcus Smart,MEM,30,20,605,1,0.6,3.5,0.8,0.4,4.5
Matt Hurt,MEM,24,8,113,1.3,1,0.6,0.3,0,9.2
Mãozinha Pereira,MEM,23,7,122,1.8,0.9,3,0.9,0,5.9
